RK,POSITION,TEAM,GP,MPG,PTS,FG%,3P%,FT%
1,Guard,BC,34,35.9,708,0.489,0.419,0.83
2,Guard,SYR,33,38.9,654,0.404,0.323,0.843
3,Forward,DUKE,29,33.4,612,0.605,0.37,0.62
4,Forward,UNC,35,32.6,602,0.495,0.44,0.618
5,Guard,BC,34,38.2,598,0.425,0.367,0.798
6,Guard,UNC,34,33,582,0.396,0.355,0.888
7,Guard,WAKE,31,31.8,523,0.413,0.358,0.868
8,Guard,DUKE,33,35.2,519,0.429,0.377,0.853
9,Guard,ND,34,37.6,518,0.41,0.396,0.832
10,Guard,CLEM,32,35,509,0.432,0.363,0.847
11,Guard,SYR,33,38.4,495,0.381,0.335,0.703
12,Guard,NCST,32,34.2,494,0.374,0.368,0.773
13,Guard,ND,29,35.8,487,0.423,0.398,0.816
14,Forward,SYR,33,38,485,0.352,0.345,0.8
15,Forward,LOU,31,33.9,478,0.445,0.35,0.78
16,Guard,DUKE,33,33.5,471,0.415,0.415,0.867
17,Guard,UVA,33,32.2,466,0.409,0.395,0.837
18,Forward,DUKE,33,27.2,455,0.564,0.463,0.733
19,Guard,VT,32,30.9,443,0.457,0.4,0.772
19,Center,NCST,32,24.1,443,0.576,0.512,0.613
21,Guard,NCST,32,28.6,440,0.539,0.299,0.74
22,Guard,GT,24,36.4,437,0.416,0.38,0.821
23,Guard,BC,33,36.7,432,0.418,0.399,0.896
24,Guard,CLEM,32,34.4,422,0.425,0.387,0.768
25,Guard,PITT,32,28,416,0.375,0.32,0.829
26,Forward,FSU,31,29.3,407,0.49,0.395,0.667
27,Forward,LOU,33,27.1,406,0.539,0.25,0.648
28,Forward,VT,32,25.4,403,0.557,0.306,0.753
29,Guard,LOU,33,32.5,401,0.408,0.409,0.879
30,Guard,FSU,31,27.5,399,0.422,0.367,0.835
30,Guard,UNC,35,31.1,399,0.485,0.396,0.692
32,Guard,FSU,30,29.5,395,0.561,0.245,0.67
32,Guard,UVA,33,32.2,395,0.465,0.452,0.894
34,Guard,VT,30,32.7,394,0.487,0.391,0.733
35,Center,GT,32,36,375,0.462,0.2,0.747
36,Forward,ND,34,24.9,372,0.598,0.333,0.849
37,Guard,GT,29,28.9,367,0.445,0.286,0.612
38,Forward,UNC,35,29.4,361,0.469,0.24,0.82
39,Guard,CLEM,30,33.3,359,0.399,0.365,0.853
40,Guard,MIA,31,27.4,356,0.415,0.346,0.75
41,Forward,MIA,31,25.8,354,0.573,0,0.7
42,Guard,VT,32,25.6,347,0.488,0.41,0.738
42,Guard,UVA,33,30.5,347,0.423,0.389,0.902
44,Forward,CLEM,32,24.7,345,0.57,0,0.621
45,Center,WAKE,31,25.5,344,0.689,0,0.458
46,Guard,VT,32,25.3,337,0.451,0.393,0.746
46,Forward,BC,34,25.9,337,0.506,0.208,0.717
48,Guard,WAKE,28,25.7,333,0.439,0.374,0.845
49,Guard,DUKE,33,29.3,328,0.424,0.27,0.578
50,Guard,PITT,32,28.6,320,0.396,0.333,0.818
51,Guard,GT,25,35,303,0.448,0.37,0.802
